id,name,author,genre,language
26,Musafir,Achyut Godbole,4,Marathi
25,Panipat,Vishwas Patil,8,Marathi
24,Mrityunjaya,Shivaji Sawant,5,Marathi
23,Rashmirathi,Ramdhari Singh Dinkar,8,Hindi
22,Kashi Ka Assi,Kashi Nath Singh,5,Hindi
21,Tamas,Bhisham Sahni,5,Hindi
20,Nirmala,Premchand,5,Hindi
19,In Cold Blood,Truman Capote,"4,6",English
18,The Boys in the Boat,Daniel James Brown,"4,6",English
17,Into Thin Air,Jon Krakauer,"4,6",English
16,The Lost Symbol,Dan Brown,"1,2",English
15,Angels & Demons,Dan Brown,"1,2",English
14,The Girl on the Train,Paula Hawkins,1,English
13,The Girl With The Dragon Tattoo,Stieg Larsson,"1,2",English
9,Percy Jackson and The Olympians,Rick Riordan,"2,3,8",English
8,Vyakti aani Valli,Pu. La. Deshpande,4,Marathi
7,The Name of the Rose,Umberto Eco,"2,8,9",English
6,The Da Vinci Code,Dan Brown,"1,2",English
5,Harry Potter and the Philosopher's Stone,J. K. Rowling,"3,5",English
4,Harry Potter and The goblet of Fire,J. K. Rowling,"2,3,5",English
3,Harry Potter and Prisoners of the Azkaban,J. K. Rowling,"2,3,5",English
2,The immortals of meluha,Amish Tripathi,"3,8",English
